Record Number,Section,Page Name,Discovered URL,Final URL,Canonical URL,URL Slug,HTTP Status,Indexable,Page Type,Primary Topic,Secondary Topics,Category,Publication Date,Last Modified,Author,H1,Meta Description,Opening Summary,Core Message,Primary Audience,Current Featured Image URL,Current Image Filename,Current Image Width,Current Image Height,Current Alt Text,Current OG Image,Current Twitter Image,Uses resources.png,Uses blog.png,Uses Other Generic Image,Needs New Image,Design Priority,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Design Status,Notes
85,Resource,CMAC Length Calculator,https://ambisecure.ambimat.com/resources/tools/cmac-length/,https://ambisecure.ambimat.com/resources/tools/cmac-length/,https://ambisecure.ambimat.com/resources/tools/cmac-length/,resources/tools/cmac-length,200,Yes,CALCULATOR,Embedded security,Secure Elements; Smart cards; Transit security,Cryptographic engineering,,2026-06-19,,CMAC Length Calculator,"Compute CMAC block count, padded length, and output truncation for AES / TDES. Practical companion for SCP03, DESFire EV2/EV3, and EMV CDA implementers.","Compute CMAC block count, padded length, and output truncation for AES / TDES. Practical companion for SCP03, DESFire EV2/EV3, and EMV CDA implementers.","Compute CMAC block count, padded length and output truncation for AES or TDES, so SCP03, DESFire and EMV CDA implementers can size their MAC operations correctly.",Embedded engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,3,Padding decides which CMAC subkey,"CMAC blocks, padding and truncation",TOOL,TECHNICAL WORKBENCH,"Dominant object: a horizontal message-length bar chopped into equal cipher blocks, with the final block drawn two ways — full versus padded — as the pivot of the whole image. Flow: input length and cipher choice determine block count, final-block treatment, subkey selection and output size. Five major nodes maximum: input length in bytes; block size (16 for AES-128/192/256, 8 for TDES); the final-block fork where a full last block selects subkey K1 and a padded one (0x80 followed by 0x00 bytes) selects K2; the resulting CMAC block count; and the output strip showing the native block-size output truncated to a shorter tag (commonly 16 down to 8 bytes). Inside hardware: nothing — no keys are entered or held; the real CMAC key would live in an HSM or secure element, out of frame. External: nothing leaves the browser; this is local arithmetic. Labels allowed: 'NIST SP 800-38B', 'K1 / K2', '0x80 00 ...', 'AES-128 / TDES', 'truncate to 8'. Must not imply the tool computes an actual MAC value. Variation within VSG-CRYPTO-CALC: a flat length/block arithmetic bar with no cards, no SAM and no key topology — the opposite of the key-diversification architecture (rec 54).","Do not show a computed MAC or tag value — the tool computes block counts, padded length and output size, never the MAC itself; Do not draw AES with an 8-byte block — AES is 16 bytes, TDES is 8; Do not show key material being entered or stored — the tool takes a length and a cipher only; Do not swap the subkeys — K1 applies to a full final block, K2 to a padded one; Do not present truncation as a weakness — 8-byte truncation is a standard deployment choice","A message length bar split into cipher blocks with a padded tail, showing how CMAC picks subkey K1 or K2 and how implementers truncate the output.",ambisecure-resources-tools-cmac-length-1200x630.png,VSG-CRYPTO-CALC,Not started,Narrow utility — block arithmetic that most implementers do once. Low standalone sharing potential; earns its place mainly as a companion to the SCP03 and secure-messaging pages it links to. Possible consolidation candidate into a broader CMAC/secure-messaging explainer if the tool inventory is ever trimmed.
86,Resource,DESFire File Settings Parser,https://ambisecure.ambimat.com/resources/tools/desfire-file-settings/,https://ambisecure.ambimat.com/resources/tools/desfire-file-settings/,https://ambisecure.ambimat.com/resources/tools/desfire-file-settings/,resources/tools/desfire-file-settings,200,Yes,PARSER,Smart cards,NFC; Transit security; APDU,Smart-card engineering,,2026-07-06,,DESFire File Settings Parser,"Decode the DESFire GetFileSettings response — file type, comms settings, access rights word, per-type fields (Std / Backup / Value / Linear / Cyclic Record / TMAC).","Decode the DESFire GetFileSettings response — file type, comms settings, access rights word, per-type fields (Std / Backup / Value / Linear / Cyclic Record / TMAC).","Decodes a GetFileSettings response into file type, communication mode, access-rights word and the per-type fields that differ across the six DESFire file types.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,"Six DESFire File Types, One Response",Read GetFileSettings Byte by Byte,TOOL,DATA PARSER,"Dominant object: a horizontal GetFileSettings response frame that branches on its first byte — unlike the single-word ruler of the access-rights decoder, the subject here is a whole response fanning into type-dependent tails. Flow: fileType byte selects one of the tails, then commSettings and the 16-bit access-rights word are read the same way regardless of branch. Exactly five labelled nodes: fileType, commSettings (plain / MACed / enciphered), access-rights word (drawn as a compact hand-off token to the sister decoder rather than re-expanded), the per-type payload (file size, or value limits, or record size and count), and a Transaction MAC tail tagged EV2/EV3 only. The frame sits inside a browser boundary — pasted hex stays local, no reader or backend appears. Allowed labels: GetFileSettings, Standard, Backup, Value, Linear Record, Cyclic Record, Transaction MAC, 0xE, 0xF. Must not imply the tool reads the file contents themselves.",Do not show a Transaction MAC file on EV1 — TMAC exists only on EV2/EV3; Do not conflate comms settings (plain / MACed / enciphered) with access rights — they are separate fields; Do not show a seventh file type — DESFire defines exactly six; Do not depict a live card or reader session — the tool parses pasted hex entirely in the browser; Do not show file data or key material — GetFileSettings returns metadata only,"GetFileSettings response branching by DESFire file type in AmbiSecure's parser, revealing comms mode and the access rights guarding each file.",ambisecure-resources-tools-desfire-file-settings-1200x630.png,VSG-BYTE-PARSER,Not started,Widest-scope tool of the DESFire decoder cluster and the natural hub page for it.
87,Resource,DESFire Key Settings Interpreter,https://ambisecure.ambimat.com/resources/tools/desfire-key-settings/,https://ambisecure.ambimat.com/resources/tools/desfire-key-settings/,https://ambisecure.ambimat.com/resources/tools/desfire-key-settings/,resources/tools/desfire-key-settings,200,Yes,PARSER,Smart cards,Personalization; NFC; Transit security,Smart-card engineering,,2026-06-19,,DESFire Key Settings Interpreter,"Decode the 2-byte DESFire GetKeySettings response — keySettings byte (ChangeKey / config / master-key flags), numKeys, and crypto type (DES / 3DES / AES).","Decode the 2-byte DESFire GetKeySettings response — keySettings byte (ChangeKey / config / master-key flags), numKeys, and crypto type (DES / 3DES / AES).","Interprets the two-byte GetKeySettings response so engineers can see who may change keys, whether configuration is frozen, and which crypto the application runs.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,3,Two Bytes Decide Who Can Rekey,Read Key Settings Before You Personalize,TOOL,DATA PARSER,"Dominant object: just two magnified hex bytes with a bit-flag ladder dropping from the first — the distinguishing subject in this parser family, where the sisters show a nibble ruler and a branching frame. Flow: byte 1 (keySettings) rungs down into privilege flags; byte 2 splits into a crypto-type field and a key-count field. Exactly five labelled nodes: ChangeKey privilege (which key number may change keys), configuration-changeable flag (the freeze), application-master-key-changeable flag, crypto type (DES / 3DES / AES-128), and numKeys shown on a 0–14 scale. Everything sits inside a browser boundary — the pasted two bytes stay local, and no card, SAM or personalization bureau link is drawn. Allowed labels: GetKeySettings, keySettings, numKeys, DES, 3DES, AES-128, 0–14. Must not imply the tool can write or alter key settings.","Do not show more than 14 application keys — numKeys spans 0 to 14; Do not display key values or key material — GetKeySettings returns settings, not keys; Do not imply the tool changes settings or rolls the master key — it only interprets a pasted response; Do not present AES-128 as the only crypto type — DES and 3DES are also encoded in that field","Two-byte GetKeySettings response expanded into ChangeKey privilege, config lock, crypto type and key count by AmbiSecure's client-side interpreter.",ambisecure-resources-tools-desfire-key-settings-1200x630.png,VSG-BYTE-PARSER,Not started,Thinnest page in the DESFire cluster (~650 chars) with the narrowest audience; worth enriching the body before treating it as a standalone share target.
88,Resource,Transaction MAC Field Visualizer,https://ambisecure.ambimat.com/resources/tools/tmac-visualizer/,https://ambisecure.ambimat.com/resources/tools/tmac-visualizer/,https://ambisecure.ambimat.com/resources/tools/tmac-visualizer/,resources/tools/tmac-visualizer,200,Yes,PARSER,Transit security,NFC; Smart cards; Embedded security,Transit ticketing,,2026-06-19,,Transaction MAC Field Visualizer,Visualise the DESFire EV2/EV3 Transaction MAC field — 4-byte counter (TMC) + 8-byte MAC value (TMV). Educational reference for transit / closed-loop ticketing implementers.,Visualise the DESFire EV2/EV3 Transaction MAC field — 4-byte counter (TMC) + 8-byte MAC value (TMV). Educational reference for transit / closed-loop ticketing implementers.,Split a DESFire EV2/EV3 Transaction MAC field into its TMC counter and TMV MAC value so ticketing implementers can read what the backend reconciles after each commit.,Transit-system architect,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,Inside the DESFire Transaction MAC field,"TMC counter, TMV value, twelve bytes",TOOL,DATA PARSER,"Dominant object: a single 12-byte hex ribbon cleaved at one fixed offset into TMC(4) and TMV(8), with the split itself as the visual event. Flow: a fixed-layout field divides into a counter and a MAC, each read differently. Five major nodes maximum: the TMC 4 bytes with its little-endian integer readout beside it; the TMV 8 bytes marked as a CMAC truncated to 8; the CommitTransaction event that increments TMC and produces a fresh TMV; the backend holding its own expected counter for reconciliation; and an optional trailing-bytes tail for PICC configurations that append padding or vendor extensions. Inside hardware: the per-application TMAC key stays on the PICC and in the backend SAM — the card computes the CMAC itself; no key appears in the ribbon. External: only the TMC and TMV bytes are read out of the file. Labels allowed: 'TMC(4)', 'TMV(8)', 'LE', 'CommitTransaction', 'DESFire EV2/EV3'. Must not imply the tool verifies the MAC or blocks fraud — the backend does reconciliation, offline and elsewhere. Variation within VSG-BYTE-PARSER: a fixed-offset two-field split of one flat field with an integer readout — no tree, no bit cells, no frame variants.",Do not show the tool verifying or recomputing the TMV CMAC — it splits and labels fields only; Do not show the TMAC key on the wire or in the browser — it stays on the PICC and in the backend SAM; Do not read TMC as big-endian — it is a 4-byte little-endian counter; Do not present the visualizer as a fraud-detection or replay-blocking system — replay detection happens when a backend reconciles counters; Do not imply the tool talks to a card or reader,"The DESFire EV2 Transaction MAC field split into its 4-byte TMC counter and 8-byte TMV, the pair a transit backend reconciles after every commit.",ambisecure-resources-tools-tmac-visualizer-1200x630.png,VSG-BYTE-PARSER,Not started,"Strong fit with AmbiSecure's transit and closed-loop ticketing narrative. Sits in a DESFire tool cluster (status decoder, file settings, key settings, access rights) — those share a family and need node-set separation from each other."
89,Resource,ISO/IEC 14443 Frame Explorer,https://ambisecure.ambimat.com/resources/tools/iso14443-frame/,https://ambisecure.ambimat.com/resources/tools/iso14443-frame/,https://ambisecure.ambimat.com/resources/tools/iso14443-frame/,resources/tools/iso14443-frame,200,Yes,PARSER,NFC,Smart cards; Transit security; Hardware security keys,Contactless engineering,,2026-06-19,,ISO/IEC 14443 Frame Explorer,Decode ISO/IEC 14443-3 (REQA / WUPA / ATQA / SAK) and 14443-4 (RATS / I-block / R-block / S-block) frame structures.,Decode ISO/IEC 14443-3 (REQA / WUPA / ATQA / SAK) and 14443-4 (RATS / I-block / R-block / S-block) frame structures.,"Decode pasted ISO/IEC 14443-3 and 14443-4 frame bytes — REQA, WUPA, ATQA, SAK, RATS and I/R/S blocks — into their field meanings, locally in the browser.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,Read a contactless frame byte by byte,"ATQA, SAK, PCB — decoded locally",TOOL,DATA PARSER,"Dominant object: a vertical rail of selectable frame types, one highlighted and expanded into its decoded fields — the frame-type choice is the organising idea. Flow: pick a frame type, paste its bytes, read the field meanings. Five major nodes maximum: REQA (0x26) / WUPA (0x52) as single-byte probes; ATQA (2 bytes, decoding UID size — single 4, double 7, triple 10 — plus the bit-frame anticollision bits); SAK (1 byte, where bit 0x20 signals ISO/IEC 14443-4 / T=CL support); RATS (0xE0 plus parameter); and a PCB byte classified as I-block, R-block or S-block. Inside hardware: nothing computed — the UID and SAK a real PICC would emit come from its chip, which is out of frame. External: nothing leaves the browser — bytes are pasted by hand and decoded locally; no antenna, no reader, no capture. Labels allowed: 'REQA 26', 'WUPA 52', 'ATQA', 'SAK 0x20', 'RATS E0', 'PCB', 'I / R / S'. Must not imply live RF interception. Variation within VSG-BYTE-PARSER: a multi-variant frame rail where the dominant object is a set of alternative frame layouts, unlike the single-object concepts in rec 51, 88 and 90.","Do not depict an RF sniffer, antenna or over-the-air capture — bytes are pasted by hand and the tool never touches a card; Do not imply the tool reads, clones or emulates a card UID; Do not show SAK bit 0x20 meaning anything other than ISO/IEC 14443-4 (T=CL) support; Do not mix the 14443-3 anti-collision frames with the 14443-4 I/R/S blocks — they are different layers; Do not present the decoder as a security or conformance test","Contactless frames from ISO/IEC 14443 laid out byte by byte — ATQA, SAK, RATS and PCB blocks — decoded locally by an AmbiSecure engineering tool.",ambisecure-resources-tools-iso14443-frame-1200x630.png,VSG-BYTE-PARSER,Not started,"Pairs with rec 35 (the static 14443 reference) and with the ATS parser / UID analyzer. The 'no bytes leave your browser' point matters here more than most — a contactless frame decoder is easily mistaken for a sniffer, so the avoid_list is doing real work."
90,Resource,Secure Messaging Field Visualizer,https://ambisecure.ambimat.com/resources/tools/secure-messaging-viz/,https://ambisecure.ambimat.com/resources/tools/secure-messaging-viz/,https://ambisecure.ambimat.com/resources/tools/secure-messaging-viz/,resources/tools/secure-messaging-viz,200,Yes,PARSER,APDU,BER-TLV; Smart cards; Secure Elements,Smart-card engineering,,2026-06-19,,Secure Messaging Field Visualizer,"Walk SM-wrapped APDU body data — DOs 87 (cryptogram), 97 (Le), 99 (status), 8E (MAC), 84 (legacy cryptogram). Reference for ISO 7816-4 secure-messaging implementers.","Walk SM-wrapped APDU body data — DOs 87 (cryptogram), 97 (Le), 99 (status), 8E (MAC), 84 (legacy cryptogram). Reference for ISO 7816-4 secure-messaging implementers.","Walk the BER-TLV data objects inside a secure-messaging-wrapped APDU body — cryptogram, expected length, status and checksum — as defined by ISO/IEC 7816-4 §6.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,What secure messaging wraps around an APDU,"DOs 87, 97, 99 and 8E explained",TOOL,DATA PARSER,"Dominant object: one SM-wrapped APDU drawn end to end — a compact header (CLA INS P1 P2) with the CLA's SM bits flagged, opening into a left-to-right chain of BER-TLV data objects in the body. Flow: the CLA declares SM is in effect, and the body's DO chain carries the protected payload in order, checksum last. Five major nodes maximum: the CLA with bits b3..b2 confirming SM; DO 87 (padding-indicator plus cryptogram); DO 97 (Le, the expected response length); DO 99 (processing status, SW1 SW2); and DO 8E (cryptographic checksum — the MAC computed over the preceding objects). Inside hardware: the session keys that produced the cryptogram and the checksum stay in the card and the host security module — neither appears in the browser or the image. External: only the wrapped body bytes travel to the card; the tool itself decodes locally and sends nothing. Labels allowed: 'ISO/IEC 7816-4 §6', '87', '97', '99', '8E', 'CLA 0C'. Must not imply the tool decrypts or verifies anything. Variation within VSG-BYTE-PARSER: a linear ordered chain of TLV data objects inside an APDU envelope, distinct from the CBOR nesting tree (rec 41) and the fixed-offset field split (rec 88).","Do not show the tool decrypting DO 87 or verifying the DO 8E MAC — it walks and labels the data-object chain only; Do not show session keys or plaintext payloads in the browser; Do not place DO 8E before the data objects — the checksum comes last, over what precedes it; Do not confuse DO 87 (with padding indicator) with the legacy proprietary DO 84; Do not imply that secure messaging alone authenticates the header — that depends on which CLA SM bits are set","An SM-wrapped APDU body opened into its BER-TLV data objects, showing where the cryptogram, expected length, status and MAC sit under ISO 7816-4.",ambisecure-resources-tools-secure-messaging-viz-1200x630.png,VSG-BYTE-PARSER,Not started,Natural companion to rec 51 (CLA decoder) and rec 55 (SCP03 walkthrough) — the three form a secure-messaging arc. No consolidation concern; each occupies a distinct layer.
91,Resource,APDU Script Validator,https://ambisecure.ambimat.com/resources/tools/apdu-script-validator/,https://ambisecure.ambimat.com/resources/tools/apdu-script-validator/,https://ambisecure.ambimat.com/resources/tools/apdu-script-validator/,resources/tools/apdu-script-validator,200,Yes,ENGINEERING TOOL,APDU,Smart cards; JavaCard,Smart-card engineering,,2026-06-19,,APDU Script Validator,"Validate a multi-line APDU script line-by-line for ISO 7816-4 case 1, 2, 3, 4 — short and extended length. Validation only; no execution.","Validate a multi-line APDU script line-by-line for ISO 7816-4 case 1, 2, 3, 4 — short and extended length. Validation only; no execution.","Check a multi-line APDU script line by line against the ISO/IEC 7816-4 case 1-4 structure, short and extended length, without executing a single command.",JavaCard developer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,Check every APDU before you send it,"Case 1 to 4, line by line",TOOL,TECHNICAL WORKBENCH,"Dominant object: a multi-line script listing — several APDUs stacked as text lines, each with a small per-line verdict badge in the gutter, one line showing a structural error. The listing, not a byte ribbon, is the hero. Flow: each line is measured against the four case shapes and reported independently. Five major nodes maximum: a case 1 line (header only, 4 bytes); a case 2 line (Le only); a case 3 line (Lc plus data); a case 4 line (Lc, data, Le); and one extended-length line where a leading 0x00 in the body signals extended encoding. Inside hardware: nothing — no card, no applet, no execution anywhere in the frame. External: nothing — validation is local and shape-only; no reader, no connection, no response. Labels allowed: 'CLA INS P1 P2', 'case 1..4', 'Lc / Le', '00 = extended', '# comment'. Must not imply execution, a card connection, or any security verdict — the page states plainly that it never executes APDUs. Distinct from the byte-parser family: the dominant object is a line-oriented script with gutter verdicts, not a decoded byte structure.","Do not show APDUs being sent to a card or reader — the validator never executes anything; Do not present a pass verdict as a security or functional guarantee — it checks structure only, not whether the card would accept the command; Do not show status words such as 9000 or 6A82 in the results — nothing responds, because nothing is sent; Do not misdraw extended length — extended encoding is signalled by a leading 0x00 in the body, not by a longer header; Do not depict it as a scripting engine, terminal emulator or test harness","A multi-line APDU script checked line by line for ISO 7816-4 case shape, with no card, no reader and no execution behind the AmbiSecure verdicts.",ambisecure-resources-tools-apdu-script-validator-1200x630.png,VSG-SCRIPT-LINTER,Not started,"New VSG coined deliberately: this is not a decode-only parser, so forcing it into VSG-BYTE-PARSER would misrepresent it and crowd an already five-member group. Its dominant object is a line-oriented listing with verdicts. Note the naming risk — 'Validator' invites a security reading, but the page is a shape-only linter; the image must not suggest otherwise. Adjacent to /resources/tools/apdu-parser/ (single-shot decode); the split is defensible and not a consolidation candidate."
92,Resource,JavaCard CAP Structure Explorer,https://ambisecure.ambimat.com/resources/tools/javacard-cap/,https://ambisecure.ambimat.com/resources/tools/javacard-cap/,https://ambisecure.ambimat.com/resources/tools/javacard-cap/,resources/tools/javacard-cap,200,Yes,PARSER,JavaCard,Secure Elements;Smart cards,JavaCard engineering,,2026-06-19,,JavaCard CAP Structure Explorer,"Explore JavaCard CAP file components (Header, Directory, Applet, Import, ConstantPool, Class, Method, StaticField, RefLocation, Export, Descriptor, Debug).","Explore JavaCard CAP file components (Header, Directory, Applet, Import, ConstantPool, Class, Method, StaticField, RefLocation, Export, Descriptor, Debug).","Paste any CAP component's bytes and see exactly which of the twelve JCVM 3.x components it is and what its header fields mean, decoded entirely in your browser.",JavaCard developer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,Inside a JavaCard CAP File,Header.cap Starts With 0xDECAFFED,TOOL,DATA PARSER,"Dominant object: a vertical ordered ladder of the twelve CAP components, tags 0x01 Header through 0x0C Debug, with mandatory ones weighted and Applet/Export/Debug visibly lighter as optional. Flow: a pasted hex strip enters at the tag byte, the tag selects one rung of the ladder, and that rung expands into decoded field rows. Max five nodes: (1) input hex strip 01 00 14 DE CA FF ED 00 03 06 08 A0 ..., (2) the Header.cap rung, (3) magic 0xDECAFFED, (4) version 3.0 plus flags ACC_INT / ACC_EXPORT / ACC_APPLET, (5) package AID A0:00:00:00:62:03:01:0C:01. No hardware is in the picture at all: a CAP is an offline load file and nothing is inside a card here; nothing communicates externally either, since decoding is browser-local. Labels allowed: component names with their tag bytes, 0xDECAFFED, ACC_* flag names, the package AID. Must not imply loading, installing, or verifying the applet. Varies from other VSG-BYTE-PARSER pages by using an ordered twelve-rung component ladder as the dominant object rather than a nested tree, and by naming CAP-only fields.","Do not show a card reader, a GlobalPlatform INSTALL/LOAD flow, or bytes travelling to a card — the explorer decodes an offline CAP component only; Do not present it as a JavaCard bytecode verifier or an applet installer; Do not label the magic as anything other than 0xDECAFFED; Do not draw Applet.cap, Export.cap or Debug.cap as mandatory — those three are optional","Ladder of the twelve JavaCard CAP components with Header.cap expanded to its 0xDECAFFED magic and package AID, decoded locally in AmbiSecure's browser tool.",ambisecure-resources-tools-javacard-cap-1200x630.png,VSG-BYTE-PARSER,Not started,Narrow but tightly tied to the JavaCard applets product line. Body is thin (465 chars) relative to the tool's depth; the component table is the real substance.
93,Resource,FIDO Metadata Explorer,https://ambisecure.ambimat.com/resources/tools/fido-mds-explorer/,https://ambisecure.ambimat.com/resources/tools/fido-mds-explorer/,https://ambisecure.ambimat.com/resources/tools/fido-mds-explorer/,resources/tools/fido-mds-explorer,200,Yes,REFERENCE DATABASE,FIDO2,Attestation; Hardware security keys; Enterprise access,FIDO & WebAuthn,,2026-06-19,,FIDO Metadata Explorer,"Browse the AAGUID directory in metadata-style cards — vendor, model, transports, BE=0 posture. Searchable. Production should fetch the FIDO MDS BLOB.","Browse the AAGUID directory in metadata-style cards — vendor, model, transports, BE=0 posture. Searchable. Production should fetch the FIDO MDS BLOB.","Browse AAGUID-keyed authenticator metadata by vendor, model and transport, with the signed FIDO MDS BLOB named as the source production relying parties must fetch and verify.",IAM leader,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,Enforce AAGUID policy at registration,Fetch and verify the signed MDS BLOB,REFERENCE,SYSTEM ARCHITECTURE,"Dominant object: the JWS-signed MDS BLOB feeding an RP policy gate. Five nodes: mds.fidoalliance.org publishing the JWS-signed BLOB; the RP's daily fetch-and-verify step; an AAGUID allow-list gate at registration time; a vendor-grouped grid of metadata cards showing model plus USB/NFC transports; and one authenticator admitted while another is refused at the gate. Nothing hardware-internal is shown — metadata describes make, model and transports, never keys or users. The only external step is the BLOB fetch, and it belongs to the relying party, not to this page, which renders a curated offline subset. Labels allowed: AAGUID, vendor, model, USB, NFC, JWS. Within VSG-REFERENCE-TABLE this page owns the card wall plus signed-BLOB policy pipeline, versus the AAGUID lookup's single-value resolve.","Do not show this page fetching the live MDS BLOB — it renders a curated offline subset; Do not present the offline card set as the complete list of certified authenticators; Do not badge synced platform credentials such as iCloud Keychain or Google Password Manager as BE=0; Do not imply MDS metadata contains user or key data, it describes make, model and transports; Do not imply AmbiSecure entries carry certified production AAGUIDs","AmbiSecure FIDO metadata explorer grouping authenticator cards by vendor and AAGUID, showing how a signed MDS BLOB drives allow-list policy at registration.",ambisecure-resources-tools-fido-mds-explorer-1200x630.png,VSG-REFERENCE-TABLE,Not started,"Content bug for human review: fido-mds-explorer.js badges every card BE=0 unconditionally, but the dictionary includes synced platform credentials (Apple iCloud Keychain, Google Password Manager) which are BE=1 — the page currently mislabels syncable passkeys as device-bound. Also shares the same AmbiSecureAAGUID.entries() dataset as AAGUID Lookup (rec 43); consolidation candidate."
94,Resource,Passkey Flow Visualizer,https://ambisecure.ambimat.com/resources/tools/passkey-flow-viz/,https://ambisecure.ambimat.com/resources/tools/passkey-flow-viz/,https://ambisecure.ambimat.com/resources/tools/passkey-flow-viz/,resources/tools/passkey-flow-viz,200,Yes,TECHNICAL EXPLAINER,Passkeys,WebAuthn; FIDO2; Phishing-resistant authentication,FIDO & WebAuthn,,2026-06-19,,Passkey Flow Visualizer,"Step-by-step walkthrough of the WebAuthn registration and authentication ceremonies, with annotation linking to the relevant decoder tools.","Step-by-step walkthrough of the WebAuthn registration and authentication ceremonies, with annotation linking to the relevant decoder tools.","Walk both WebAuthn ceremonies step by step, create() and get(), showing where every byte the companion decoders parse actually comes from.",Security architect,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,Two ceremonies: create() and get(),Origin binding kills the phishing class,SECURITY EXPLAINER,PROTOCOL FLOW,"Dominant object: a three-lane, time-ordered sequence across RP, browser and authenticator. Five nodes: the RP issuing PublicKeyCredentialCreationOptions with a fresh challenge and rpId; the browser building clientDataJSON and stamping the true origin; the authenticator generating a fresh keypair and signing authData || SHA-256(clientDataJSON); the returned PublicKeyCredential carrying attestationObject and clientDataJSON; and RP verification persisting credentialId, publicKey and signCount. What stays inside hardware: the private key, generated inside the authenticator behind a sealed boundary it never crosses. What communicates externally: only the public COSE_Key, credentialId, authenticatorData and signature. Labels allowed: create(), get(), challenge, origin, signature, ES256. Within VSG-FIDO-CEREMONY this is the only member with actor lanes and message ordering; siblings show a static JSON object and a domain hierarchy.","Do not draw the private key crossing the authenticator boundary — only the public key, credentialId and signature leave; Do not depict this as a live ceremony runner, it is an annotated walkthrough; Do not show a hardware key as the only authenticator — passkeys may be synced platform credentials; Do not show the browser issuing the challenge, the relying party issues it; Do not merge create() and get() into one flow, they are two distinct ceremonies","Three-lane WebAuthn ceremony walkthrough from AmbiSecure across relying party, browser and authenticator, with the private key sealed inside the authenticator.",ambisecure-resources-tools-passkey-flow-viz-1200x630.png,VSG-FIDO-CEREMONY,Not started,"Page lives under /resources/tools/ but is explicitly annotation-only ('does not run live ceremonies'), so typed as an explainer rather than a tool."
