Record Number,Section,Page Name,Canonical URL,Page Type,Primary Topic,Secondary Topics,Category,Design Priority,Core Message,Primary Audience,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Current Image Filename,Design Status,Notes
74,Resource,GlobalPlatform Status Words Reference,https://ambisecure.ambimat.com/references/globalplatform/,REFERENCE DATABASE,JavaCard,Smart cards; APDU; Personalization,Card management,2,"The status words GlobalPlatform 2.3.1 card-management commands return, so a failed INSTALL or LOAD resolves to a cause instead of a guess.",JavaCard developer,GlobalPlatform status words for INSTALL and LOAD,When GET STATUS returns 6A84,REFERENCE,TECHNICAL WORKBENCH,"VSG variation: the dominant object is a COMMAND RAIL feeding a status column — the data shape is command→outcome, the only concept in the group organised by the issuing command rather than by the key alone. A left rail lists the five GP 2.3.1 card-management commands INSTALL, LOAD, DELETE, GET STATUS, GET DATA; arrows converge into a returned-SW column showing at most five codes: 9000 Success, 6A84 Not enough memory space, 6283 Card Life Cycle State is CARD_LOCKED, 6300 Authentication of host cryptogram failed, 9485 Invalid key check value. The two GP-specific 94xx codes are visually set apart from the ISO-shaped 6xxx codes to show GP extends the same two-byte space. Allowed labels: the five command names, the five hex codes with short meanings, 'GP 2.3.1 §11'; no key material or SCP session bytes are drawn.","Do not show SCP02/SCP03 session keys, host cryptograms or key material in the clear — 6300 and 9485 are named, never computed; Do not depict content being loaded onto a card — no CAP file transfer or live card-management session; Do not treat 9484/9485 as ISO 7816-4 codes — they are GlobalPlatform key-handling specific; Do not imply CARD_LOCKED (6283) is a card fault — it is a life-cycle state","GlobalPlatform 2.3.1 card-management commands mapped to the status words they return, including 6A84 and 9485, in the AmbiSecure JavaCard engineering reference.",ambisecure-references-globalplatform-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,
75,Resource,ASN.1 Universal Tags Reference,https://ambisecure.ambimat.com/references/asn1/,PROTOCOL REFERENCE,BER-TLV,PKI; Certificate lifecycle; Attestation,ASN.1 & PKI encoding,2,"The sixteen ASN.1 universal-class tags, split by primitive versus constructed form, are the encoding floor beneath X.509, PKCS, CMS and FIDO attestation.",PKI engineer,The 16 tags under every certificate,Primitive or constructed: the ASN.1 floor,REFERENCE,DATA PARSER,"VSG variation: the dominant object is a FORM SPLIT — one closed set of 16 tags divided into two columns by primitive vs constructed, the only binary-partition shape in the group. Left column (primitive) shows at most three legible entries: 2 INTEGER (two's-complement big-endian), 3 BIT STRING (first octet = unused-bit count), 6 OBJECT IDENTIFIER; right column (constructed) shows 16 SEQUENCE and 17 SET, each drawn as a container holding smaller TLV children so the constructed form is visually literal. A thin footer band names the three encoding rules with their relationship — BER permissive, DER the canonical subset you always write, CER rare — and nothing else. Allowed labels: those five tag numbers and names, 'Primitive', 'Constructed', 'BER · DER · CER', 'ITU-T X.680 / X.690'.","Do not show a full X.509 certificate, chain, or signature check — this page stops at the tag layer; Do not depict BER as the encoding to write — DER is the canonical form used by X.509, PKCS, CMS and WebAuthn attestation; Do not draw SEQUENCE or SET as primitive — they are always constructed; Do not label JavaCard CAP files as ASN.1 — the page is explicit that they are not","The sixteen ASN.1 universal tags split into primitive and constructed forms, showing the DER encoding floor beneath X.509 and FIDO attestation on AmbiSecure.",ambisecure-references-asn1-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,
76,Resource,NFC NDEF TNF Types Reference,https://ambisecure.ambimat.com/references/nfc/,PROTOCOL REFERENCE,NFC,Smart cards,NFC & NDEF,3,"The NDEF Type Name Format field is three bits with only eight defined values, and this reference states exactly what each one means.",Embedded engineer,"Eight TNF values, no more",What the first three bits of NDEF mean,REFERENCE,CONCEPTUAL ILLUSTRATION,"VSG variation: the smallest key space in the group, so the dominant object is an EXHAUSTIVE eight-slot dial rather than a scrollable table — the shape argues completeness, which no other concept in this group can claim. Eight numbered slots run 0x00 to 0x07 around or across the frame, with at most five carrying legible meaning: 0x01 NFC Forum well-known type, 0x02 Media-type (RFC 2046), 0x03 Absolute URI (RFC 3986), 0x04 NFC Forum external type, 0x06 Unchanged (chunked records only). 0x07 is drawn dimmed and labelled Reserved, and a small caption marks the field as three bits inside the NDEF record header. Allowed labels: the eight hex values, those five type names, 'TNF · 3 bits', 'NFC Forum NDEF v1.0'.","Do not show a ninth TNF value or leave 0x07 undimmed — the field is 3 bits and 0x07 is Reserved; Do not depict a phone tapping a tag, a scan, or a live read — this is a value enumeration; Do not imply an NDEF record is authenticated or signed by virtue of its TNF — TNF describes the type field only; Do not confuse 0x06 Unchanged with 0x05 Unknown — Unchanged applies only to chunks after the first","All eight NDEF Type Name Format values from 0x00 to 0x07 shown as a complete three-bit enumeration, with well-known, MIME and external types, on AmbiSecure.",ambisecure-references-nfc-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Narrow utility, 8 rows; consolidation candidate with a broader NFC/NDEF reference if the /references/ set is ever trimmed."
77,Resource,X.509 / Certificate OIDs Reference,https://ambisecure.ambimat.com/references/x509-oids/,REFERENCE DATABASE,PKI,Certificate lifecycle; Attestation; BER-TLV,ASN.1 & PKI encoding,2,"The OIDs actually encountered inside a DER-encoded certificate — RDN attribute types, v3 extensions, signature algorithms, curves and FIDO attestation arcs — resolved to names.",PKI engineer,The OIDs inside a DER certificate,2.5.29.15 is keyUsage,REFERENCE,CERTIFICATE STRUCTURE,"VSG variation: the dominant object is an ARC TREE — dotted OID prefixes branching before they resolve into a name column, the only hierarchical key structure in the group (every other page keys on a flat code). Five arcs branch from a common root and are the only nodes: 2.5.4.x → RDN attribute types (2.5.4.3 commonName), 2.5.29.x → v3 extensions (2.5.29.15 keyUsage, 2.5.29.17 subjectAltName), 1.2.840.113549.1.1.11 → sha256WithRSAEncryption, 1.2.840.10045.4.3.2 → ecdsa-with-SHA256, and 1.3.6.1.4.1.45724.1.1.4 → id-fido-gen-ce-aaguid. Each arc terminates in a plain resolved name; the FIDO arc is set slightly apart to show attestation certificates extend the same namespace. Allowed labels: those OID strings and their names, plus the class words RDN, Extension, Algorithm, Curve, FIDO.","Do not draw a certificate chain, trust path, or validation verdict — the page resolves OIDs, it does not verify certificates; Do not show a private key, CSR, or key-generation step; Do not present criticality or policy enforcement — OID identity only, extension criticality lives on the X.509 Extensions reference; Do not misattribute the FIDO arc — 1.3.6.1.4.1.45724 is FIDO Alliance, 1.3.6.1.4.1.41482 is Yubico","X.509 OID arcs branching into resolved names — RDN types, v3 extensions, signature algorithms and the FIDO AAGUID extension — in AmbiSecure's PKI reference.",ambisecure-references-x509-oids-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Overlaps /references/x509-extensions/ (rec not in this batch); keep distinct — this page is OID identity, that page is extension semantics and criticality."
78,Resource,X.509 Extensions Reference,https://ambisecure.ambimat.com/references/x509-extensions/,REFERENCE DATABASE,PKI,Certificate lifecycle; Attestation; FIDO2,PKI & certificates,2,"A searchable OID-keyed index of the X.509 v3 extensions engineers actually meet, with the criticality flag that decides whether a path validator may ignore them.",PKI engineer,X.509 v3 Extensions Indexed by OID,Which X.509 Extensions Are Critical,REFERENCE,CERTIFICATE STRUCTURE,"Dominant object: the extensions block of a single X.509 v3 certificate exploded into a vertical lookup rail, each row keyed by its dotted OID. Show at most five rows as exemplars — subjectKeyIdentifier 2.5.29.14 (non-critical), keyUsage 2.5.29.15 (critical), basicConstraints 2.5.29.19 (critical), extKeyUsage 2.5.29.37 (non-critical), and id-fido-gen-ce-aaguid 1.3.6.1.4.1.45724.1.1.4 (non-critical) — with the criticality flag as a distinct column marker; the relationship shown is OID to meaning to criticality, nothing more. Nothing sits inside hardware here: the certificate is the public half and travels freely, while the matching private key stays in the authenticator and is deliberately absent from the frame. Allowed labels are the dotted OIDs, extension short names, and the words critical / non-critical. Variation within VSG-REFERENCE-TABLE: this is the only member keyed by dotted OID strings with a criticality flag as the organising column; it must not read as a chain builder, validator, or scanner.",Do not present the OID index as a certificate validator or chain checker; Do not mark keyUsage or basicConstraints as non-critical; Do not draw a private key next to subjectKeyIdentifier — SKID is a hash of the public key; Do not imply the FIDO AAGUID extension is part of RFC 5280 itself,"AmbiSecure reference rail of X.509 v3 extension OIDs, flagging which extensions a path validator must treat as critical.",ambisecure-references-x509-extensions-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Table renders client-side from window.AS_REF (13 rows: OID / Extension / Criticality / Class / Detail) — the thin body text is by design, not a placeholder. Companion tools are the X.509 viewer and cert chain viewer; keep this image distinct from those."
79,Resource,JavaCard CAP Components Reference,https://ambisecure.ambimat.com/references/javacard-cap/,REFERENCE DATABASE,JavaCard,Smart cards; Secure Elements; Provisioning,Smart-card engineering,2,"The twelve CAP file component types, which nine are mandatory, and what each one gives the on-card verifier before an applet may run.",JavaCard developer,The 12 Components Inside a CAP File,Which CAP Components the Verifier Needs,REFERENCE,STANDARD STACK,"Dominant object: one CAP file drawn as a stacked ribbon of named components, with Directory.cap's size-and-offset entries drawn as short pointers into the neighbouring blocks. Limit to five labelled blocks — Header.cap (magic, version, package AID), Directory.cap, Method.cap (JCVM bytecode), Descriptor.cap (verifier input), and a greyed Debug.cap marked as stripped — with a Mandatory / Optional marker per block. Inside hardware: the on-card verifier and the linked, relocated bytecode resident in the JavaCard secure element; communicating externally: the CAP file itself, arriving once from the off-card toolchain during loading. Allowed labels are the component filenames and the words Mandatory and Optional. Variation within VSG-REFERENCE-TABLE: this is the only member whose dominant object is a file-layout ribbon with internal offset pointers rather than a row-per-entry table.","Do not depict the CAP file as directly executable bytecode that skips on-card verification; Do not mark Applet.cap, Export.cap or Debug.cap as mandatory; Do not show Debug.cap present in a production CAP; Do not present this reference as the interactive CAP structure explorer tool","Layout of a JavaCard CAP file's 12 components, showing which ones the on-card verifier requires and which are stripped before production.",ambisecure-references-javacard-cap-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Table renders client-side from window.AS_REF (12 rows, Mandatory/Optional tag filter) — thin body text is by design. Companion CAP structure explorer lives at /resources/tools/javacard-cap/; the reference image must not be mistaken for the tool image."
80,Resource,IEEE 1609.2 V2X Certificate Reference,https://ambisecure.ambimat.com/references/ieee-1609-2/,PROTOCOL REFERENCE,V2X,PKI; Device identity; Connected mobility,V2X & ITS security,1,"The IEEE 1609.2 CertificateBase field-by-field, and why a V2X certificate is an order of magnitude smaller than the X.509 certificate engineers already know.",Automotive-security engineer,"IEEE 1609.2 Certificates, COER Not DER",A V2X Certificate Is Not X.509,REFERENCE,COMPARISON,"Dominant object: a two-column comparison — a compact IEEE 1609.2 CertificateBase skeleton set against a visibly larger X.509 slab, drawn to honest relative scale (120–250 bytes versus 1.0–2.5 kB). The 1609.2 column carries at most five fields: version (Uint8, fixed at 3), type (explicit or implicit), issuer (HashedId8 — the last 8 bytes of the SHA over the issuer's COER-encoded cert), toBeSigned, and signature (ECDSA, present for explicit certs only); connecting rails call out the real contrasts — COER schema-driven and untagged versus DER TLV, HashedId8 versus Issuer DN, a 5–10 minute Pseudonymous Certificate versus multi-year end-entity validity. Inside hardware: the ECDSA private key, which stays in the ITS-S secure element; communicating externally: only the encoded certificate bytes. Allowed labels are the ASN.1 field names, COER, DER, and the byte ranges. Variation within VSG-REFERENCE-TABLE: this is the only member built as a two-column encoding-and-size comparison; it must not read as the V2X certificate parser tool.",Do not draw 1609.2 fields as DER TLV triplets — COER is untagged and schema-driven; Do not show a trailing signature on an implicit certificate; Do not give a 1609.2 certificate a Subject DN or SAN; Do not imply the ECDSA private key leaves the ITS-S secure element; Do not present this reference as the IEEE 1609.2 certificate parser,"AmbiSecure comparison of a compact COER-encoded V2X certificate against a DER X.509 certificate, contrasting size and issuer identification.",ambisecure-references-ieee-1609-2-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Long-form prose reference (~8.2k chars), NOT a JS-rendered table — the batch premise about thin bodies does not apply to this page. Strong commercial tie to the V2X security solution and IoT Security Co-Processor. Keep visually distinct from the companion 1609.2 parser tool image."
81,Resource,ETSI TS 103 097 V2X Secured-Message Reference,https://ambisecure.ambimat.com/references/etsi-ts-103-097/,PROTOCOL REFERENCE,V2X,Connected mobility; Device identity; Embedded security,V2X & ITS security,2,The on-wire ETSI TS 103 097 SecuredMessage envelope and the profile-driven cadence that decides when a frame carries a full certificate instead of an 8-byte digest.,Embedded engineer,Inside a V2X SecuredMessage,"Digest or Full Certificate, Every Message",REFERENCE,PROTOCOL FLOW,"Dominant object: a single SecuredMessage envelope laid out left-to-right as it sits on the ITS-G5 wire, with four labelled segments — protocolVersion, headerFields (canonically ordered: generation_time as Time64 microseconds since the 2004 IEEE 1609 epoch, signer_info, its_aid), payloadFields (the CAM or DENM carried as an opaque OCTET STRING), and trailerFields holding the ECDSA signature. Beneath it, a fifth element: a short broadcast cadence strip of 10 Hz CAM frames in which most frames carry only the signing certificate's HashedId8 while every Nth carries the full certificate inline (~80 bytes of extra signer info). Inside hardware: one ECDSA signature per frame, ten per second, computed in the secure element; communicating externally: the broadcast frame and the receiver's HashedId8 certificate cache. Allowed labels are the field names, HashedId8, generation_time, and the cadence annotation. Variation within VSG-REFERENCE-TABLE: this is the only member whose dominant object is a wire-format envelope paired with a repeating broadcast cadence strip.","Do not depict the payload as encrypted — SecuredMessages are signed, confidentiality is a separate scheme; Do not show a full certificate in every frame — the application profile sets the digest cadence; Do not draw the broadcast sequence as a session or handshake; Do not conflate generation_time with expiry_time, which most profiles omit",ETSI ITS-G5 secured-message envelope showing how signed V2X frames alternate between a certificate digest and a full inline certificate.,ambisecure-references-etsi-ts-103-097-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Prose reference (~7.3k chars), no AS_REF table on the page. Shares HashedId8 vocabulary with rec 80 — keep the envelope-plus-cadence angle exclusive to this page and the size comparison exclusive to 1609.2."
82,Resource,ETSI TS 102 941 V2X Trust & Privacy Management Reference,https://ambisecure.ambimat.com/references/etsi-ts-102-941/,ARCHITECTURE GUIDE,V2X,PKI; Certificate lifecycle; Device identity,V2X PKI architecture,1,The ETSI TS 102 941 trust model splits enrolment from authorisation so that no single authority can link a signed V2X message back to a specific vehicle.,Device-security architect,No Authority Can Link a Vehicle,How EA and AA Split V2X Trust,REFERENCE,TRUST CHAIN,"Dominant object: the ETSI ITS PKI hierarchy drawn with one deliberate vertical partition wall running down its middle, separating identity from authorisation. Five nodes only: Root CA at the top signing both authorities, Trust List Manager distributing the CTL, Enrolment Authority on the identity side, Authorisation Authority on the authorisation side, and the ITS Station at the base; the flows are enrolment (ITS-S presents a manufacturer-attested key, receives a long-lived Enrolment Credential) and authorisation (ITS-S sends a caterpillar public key plus seed, receives a batch of short-lived Pseudonymous Certificates). Inside hardware: the EC and the caterpillar private key never leave the ITS-S secure element, and each PC's private half is re-derived on-card from the seed; communicating externally: enrolment and authorisation requests, plus CRL and CTL distribution. Allowed labels are the entity names and EC, PC, CTL, CRL — plus the partition annotation 'EA sees identity, never messages / AA signs PCs, never sees the EC'. Variation within VSG-REFERENCE-TABLE: this is the only member organised around a privacy partition wall rather than a structure, envelope, or comparison.",Do not place the manufacturer inside the operational PKI — it is the out-of-band bootstrap trust anchor only; Do not show the AA learning which EC requested a PC batch; Do not show the caterpillar private key or seed-derived private keys travelling to the AA; Do not conflate the CTL (who is trusted) with the CRL (what is revoked); Do not draw the EA receiving signed V2X messages,V2X PKI hierarchy showing the enrolment and authorisation split that stops any single authority linking a signed message to a vehicle.,ambisecure-references-etsi-ts-102-941-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Prose architecture reference (~7.4k chars), not a table page. VSG-PKI-LIFECYCLE arguably fits this page better than VSG-REFERENCE-TABLE; kept in the batch-assigned group per instruction — flag for human review. Strongest LinkedIn candidate in the batch (the privacy-partition story travels well)."
83,Resource,ISO 21177 ITS Station Security Services Reference,https://ambisecure.ambimat.com/references/iso-21177/,PROTOCOL REFERENCE,V2X,Connected mobility; Device identity; Secure Elements,V2X & ITS security,3,"ISO 21177 is the session layer above 1609.2 and 102 941 — mutual authentication for unicast ITS sessions, which is a different problem from broadcast V2X messages.",Automotive-security engineer,"ITS Sessions, Not Broadcast Messages",1609.2 Certificates at the Session Layer,REFERENCE,IDENTITY FLOW,"Dominant object: two ITS stations facing each other across a four-rung unicast handshake ladder — the deliberate contrast being that this is a two-party session, not a one-to-many broadcast. Four nodes, one per rung: initiator hello (1609.2 certificate or cached digest, ephemeral key contribution, nonce, cipher-suite selection), responder hello with its certificate and a signature over the exchange transcript, initiator transcript signature, and the confirmed session. Inside hardware: the ephemeral ECDH contributions and the derived session keys, held in the secure element and wiped on termination; communicating externally: certificates, nonces, and transcript signatures only. Allowed labels are the four step names plus 'EC, not PC', 'transcript signature', and 'SAP'. Variation within VSG-REFERENCE-TABLE: this is the only member drawn as a two-party handshake ladder with a temporal top-to-bottom read, against the static structures used by every other member.","Do not depict CAMs or DENMs — ISO 21177 covers unicast sessions, not broadcast messages; Do not show Pseudonymous Certificates authenticating a session — sessions typically use the long-lived EC; Do not imply confidentiality is always on, it is optional and selected at establishment; Do not show session keys persisting after termination","Mutual-authentication handshake between two ITS stations, deriving session keys inside an AmbiSecure secure element from 1609.2 certificates.",ambisecure-references-iso-21177-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Prose reference (~6.1k chars), no table. Narrowest page in the batch and the clearest consolidation candidate — the session-layer material could fold into the 102 941 or 103 097 reference if the library is trimmed."
84,Resource,GSMA SGP.32 IoT eSIM Reference,https://ambisecure.ambimat.com/references/sgp-32/,ARCHITECTURE GUIDE,SIM/eSIM,IoT security; Device identity; Provisioning,eSIM & IoT connectivity,2,"GSMA SGP.32 provisions eSIM profiles to headless IoT devices that have no screen and no user to scan a QR code, pulling profiles autonomously on device identity and policy.",Connected-product OEM,eSIM Provisioning Without a Screen,SGP.32 Pulls Profiles by Device Identity,REFERENCE,SYSTEM ARCHITECTURE,"Dominant object: a headless IoT endpoint — explicitly no screen, no keypad — with the eUICC drawn as the anchor at its centre and the SGP.32 entities arranged around it. Five nodes: eUICC, IPA (the host-side IoT Profile Assistant driving the exchange a consumer UI would otherwise drive), eIM for fleet-level profile policy, SM-DP+ holding and encrypting the Bound Profile Package, and SM-DS indexing which SM-DP+ has a profile waiting; the flow runs discovery (IPA queries SM-DS by eUICC identity) to mutual authentication (eUICC certificate signed by the EUM, SM-DP+ certificate signed by the GSMA CI Root CA) to BPP delivery and install. Inside hardware: the eUICC private key and the decrypted profile, neither of which crosses the eUICC boundary; communicating externally: the discovery query, the TLS session to SM-DP+, and the encrypted BPP in transit. Allowed labels are the entity names, BPP, EUM, and an annotation such as 'no QR, no user'. Variation within VSG-REFERENCE-TABLE: the only member centred on a physical headless device with a surrounding entity ring, and the only non-V2X, non-certificate-format page in the group.","Do not show a QR code or activation code — that is the SGP.22 consumer flow, which SGP.32 exists to avoid; Do not conflate eSIM with the eUICC silicon that hosts it; Do not show two profiles enabled at once — only one may be active; Do not show the eUICC private key or the decrypted BPP leaving the eUICC boundary; Do not imply the eIM is mandatory — it is an optional management entity",GSMA SGP.32 entities delivering an encrypted eSIM profile to a headless IoT device's eUICC without any user-driven activation step.,ambisecure-references-sgp-32-1200x630.png,VSG-REFERENCE-TABLE,references.png,Not started,"Prose reference (~7.1k chars), no table; the only non-V2X page in the batch. VSG-SIM-ESIM arguably fits better than VSG-REFERENCE-TABLE; kept in the batch-assigned group per instruction — flag for human review. Page ties to the SIMAuth sister site and the IoT Security Co-Processor; the CC EAL6+ note is the eUICC silicon norm, not an AmbiSecure certification claim."
85,Resource,CMAC Length Calculator,https://ambisecure.ambimat.com/resources/tools/cmac-length/,CALCULATOR,Embedded security,Secure Elements; Smart cards; Transit security,Cryptographic engineering,3,"Compute CMAC block count, padded length and output truncation for AES or TDES, so SCP03, DESFire and EMV CDA implementers can size their MAC operations correctly.",Embedded engineer,Padding decides which CMAC subkey,"CMAC blocks, padding and truncation",TOOL,TECHNICAL WORKBENCH,"Dominant object: a horizontal message-length bar chopped into equal cipher blocks, with the final block drawn two ways — full versus padded — as the pivot of the whole image. Flow: input length and cipher choice determine block count, final-block treatment, subkey selection and output size. Five major nodes maximum: input length in bytes; block size (16 for AES-128/192/256, 8 for TDES); the final-block fork where a full last block selects subkey K1 and a padded one (0x80 followed by 0x00 bytes) selects K2; the resulting CMAC block count; and the output strip showing the native block-size output truncated to a shorter tag (commonly 16 down to 8 bytes). Inside hardware: nothing — no keys are entered or held; the real CMAC key would live in an HSM or secure element, out of frame. External: nothing leaves the browser; this is local arithmetic. Labels allowed: 'NIST SP 800-38B', 'K1 / K2', '0x80 00 ...', 'AES-128 / TDES', 'truncate to 8'. Must not imply the tool computes an actual MAC value. Variation within VSG-CRYPTO-CALC: a flat length/block arithmetic bar with no cards, no SAM and no key topology — the opposite of the key-diversification architecture (rec 54).","Do not show a computed MAC or tag value — the tool computes block counts, padded length and output size, never the MAC itself; Do not draw AES with an 8-byte block — AES is 16 bytes, TDES is 8; Do not show key material being entered or stored — the tool takes a length and a cipher only; Do not swap the subkeys — K1 applies to a full final block, K2 to a padded one; Do not present truncation as a weakness — 8-byte truncation is a standard deployment choice","A message length bar split into cipher blocks with a padded tail, showing how CMAC picks subkey K1 or K2 and how implementers truncate the output.",ambisecure-resources-tools-cmac-length-1200x630.png,VSG-CRYPTO-CALC,resources.png,Not started,Narrow utility — block arithmetic that most implementers do once. Low standalone sharing potential; earns its place mainly as a companion to the SCP03 and secure-messaging pages it links to. Possible consolidation candidate into a broader CMAC/secure-messaging explainer if the tool inventory is ever trimmed.
86,Resource,DESFire File Settings Parser,https://ambisecure.ambimat.com/resources/tools/desfire-file-settings/,PARSER,Smart cards,NFC; Transit security; APDU,Smart-card engineering,2,"Decodes a GetFileSettings response into file type, communication mode, access-rights word and the per-type fields that differ across the six DESFire file types.",Smart-card engineer,"Six DESFire File Types, One Response",Read GetFileSettings Byte by Byte,TOOL,DATA PARSER,"Dominant object: a horizontal GetFileSettings response frame that branches on its first byte — unlike the single-word ruler of the access-rights decoder, the subject here is a whole response fanning into type-dependent tails. Flow: fileType byte selects one of the tails, then commSettings and the 16-bit access-rights word are read the same way regardless of branch. Exactly five labelled nodes: fileType, commSettings (plain / MACed / enciphered), access-rights word (drawn as a compact hand-off token to the sister decoder rather than re-expanded), the per-type payload (file size, or value limits, or record size and count), and a Transaction MAC tail tagged EV2/EV3 only. The frame sits inside a browser boundary — pasted hex stays local, no reader or backend appears. Allowed labels: GetFileSettings, Standard, Backup, Value, Linear Record, Cyclic Record, Transaction MAC, 0xE, 0xF. Must not imply the tool reads the file contents themselves.",Do not show a Transaction MAC file on EV1 — TMAC exists only on EV2/EV3; Do not conflate comms settings (plain / MACed / enciphered) with access rights — they are separate fields; Do not show a seventh file type — DESFire defines exactly six; Do not depict a live card or reader session — the tool parses pasted hex entirely in the browser; Do not show file data or key material — GetFileSettings returns metadata only,"GetFileSettings response branching by DESFire file type in AmbiSecure's parser, revealing comms mode and the access rights guarding each file.",ambisecure-resources-tools-desfire-file-settings-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,Widest-scope tool of the DESFire decoder cluster and the natural hub page for it.
87,Resource,DESFire Key Settings Interpreter,https://ambisecure.ambimat.com/resources/tools/desfire-key-settings/,PARSER,Smart cards,Personalization; NFC; Transit security,Smart-card engineering,3,"Interprets the two-byte GetKeySettings response so engineers can see who may change keys, whether configuration is frozen, and which crypto the application runs.",Smart-card engineer,Two Bytes Decide Who Can Rekey,Read Key Settings Before You Personalize,TOOL,DATA PARSER,"Dominant object: just two magnified hex bytes with a bit-flag ladder dropping from the first — the distinguishing subject in this parser family, where the sisters show a nibble ruler and a branching frame. Flow: byte 1 (keySettings) rungs down into privilege flags; byte 2 splits into a crypto-type field and a key-count field. Exactly five labelled nodes: ChangeKey privilege (which key number may change keys), configuration-changeable flag (the freeze), application-master-key-changeable flag, crypto type (DES / 3DES / AES-128), and numKeys shown on a 0–14 scale. Everything sits inside a browser boundary — the pasted two bytes stay local, and no card, SAM or personalization bureau link is drawn. Allowed labels: GetKeySettings, keySettings, numKeys, DES, 3DES, AES-128, 0–14. Must not imply the tool can write or alter key settings.","Do not show more than 14 application keys — numKeys spans 0 to 14; Do not display key values or key material — GetKeySettings returns settings, not keys; Do not imply the tool changes settings or rolls the master key — it only interprets a pasted response; Do not present AES-128 as the only crypto type — DES and 3DES are also encoded in that field","Two-byte GetKeySettings response expanded into ChangeKey privilege, config lock, crypto type and key count by AmbiSecure's client-side interpreter.",ambisecure-resources-tools-desfire-key-settings-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,Thinnest page in the DESFire cluster (~650 chars) with the narrowest audience; worth enriching the body before treating it as a standalone share target.
88,Resource,Transaction MAC Field Visualizer,https://ambisecure.ambimat.com/resources/tools/tmac-visualizer/,PARSER,Transit security,NFC; Smart cards; Embedded security,Transit ticketing,2,Split a DESFire EV2/EV3 Transaction MAC field into its TMC counter and TMV MAC value so ticketing implementers can read what the backend reconciles after each commit.,Transit-system architect,Inside the DESFire Transaction MAC field,"TMC counter, TMV value, twelve bytes",TOOL,DATA PARSER,"Dominant object: a single 12-byte hex ribbon cleaved at one fixed offset into TMC(4) and TMV(8), with the split itself as the visual event. Flow: a fixed-layout field divides into a counter and a MAC, each read differently. Five major nodes maximum: the TMC 4 bytes with its little-endian integer readout beside it; the TMV 8 bytes marked as a CMAC truncated to 8; the CommitTransaction event that increments TMC and produces a fresh TMV; the backend holding its own expected counter for reconciliation; and an optional trailing-bytes tail for PICC configurations that append padding or vendor extensions. Inside hardware: the per-application TMAC key stays on the PICC and in the backend SAM — the card computes the CMAC itself; no key appears in the ribbon. External: only the TMC and TMV bytes are read out of the file. Labels allowed: 'TMC(4)', 'TMV(8)', 'LE', 'CommitTransaction', 'DESFire EV2/EV3'. Must not imply the tool verifies the MAC or blocks fraud — the backend does reconciliation, offline and elsewhere. Variation within VSG-BYTE-PARSER: a fixed-offset two-field split of one flat field with an integer readout — no tree, no bit cells, no frame variants.",Do not show the tool verifying or recomputing the TMV CMAC — it splits and labels fields only; Do not show the TMAC key on the wire or in the browser — it stays on the PICC and in the backend SAM; Do not read TMC as big-endian — it is a 4-byte little-endian counter; Do not present the visualizer as a fraud-detection or replay-blocking system — replay detection happens when a backend reconciles counters; Do not imply the tool talks to a card or reader,"The DESFire EV2 Transaction MAC field split into its 4-byte TMC counter and 8-byte TMV, the pair a transit backend reconciles after every commit.",ambisecure-resources-tools-tmac-visualizer-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,"Strong fit with AmbiSecure's transit and closed-loop ticketing narrative. Sits in a DESFire tool cluster (status decoder, file settings, key settings, access rights) — those share a family and need node-set separation from each other."
